meal_name,emoji,quick,common_ingredients,variants_json,sides_json,category,image_url
Spaghetti Bolognese,🍝,,spaghetti;tinned tomatoes;onion;carrots;celery,"[{""name"":""meat"",""ingredients"":[""beef/pork mince""]},{""name"":""veg"",""ingredients"":[""lentils""]},{""name"":""meat & veg"",""ingredients"":[""beef/pork mince"",""lentils""]}]","[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]}]",Italian,
Korma,🥘,,coconut milk;tinned tomatoes;garam masala;chicken stock;naan;indian sides;onion;popadums,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""chickpea"",""ingredients"":[""chickpeas""]}]","[{""name"":""rice"",""ingredients"":[""rice""]}]",Indian & curries,https://images.unsplash.com/photo-1728542575492-47e02eb3305c?fm=jpg&q=70&w=600&auto=format&fit=crop
Japanese Curry,🍛,,carrots;tomatoes;potatoes;onion;beef;chicken;prawns,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""beef"",""ingredients"":[""beef""]}]","[{""name"":""rice"",""ingredients"":[""rice""]}]",Japanese,
Omelette,🍳,,eggs;cheese;leek;peppers,[],[],Other mains,https://images.unsplash.com/photo-1668283653825-37b80f055b05?fm=jpg&q=70&w=600&auto=format&fit=crop
Sausage and mash,🥔,,sausages;potatoes;gravy;onion;peas;beans;carrots;broccoli,[],[],British classics,https://images.unsplash.com/photo-1658925111653-2c08083c08ff?fm=jpg&q=70&w=600&auto=format&fit=crop
Pizza,🍕,yes,pizza,[],"[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]},{""name"":""chips"",""ingredients"":[""chips""]},{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""peppers"",""avocado""]},{""name"":""onion rings"",""ingredients"":[""onions rings""]},{""name"":""sweetcorn"",""ingredients"":[""sweetcorn""]}]",Italian,https://images.unsplash.com/photo-1513104890138-7c749659a591?fm=jpg&q=70&w=600&auto=format&fit=crop
Salmon,🍣,yes,salmon,[],"[{""name"":""rice"",""ingredients"":[""rice""]},{""name"":""risotto"",""ingredients"":[""risotto rice"",""chicken stock"",""cream cheese"",""mushroom""]},{""name"":""chips"",""ingredients"":[""potatoes""]},{""name"":""sweet potato fries"",""ingredients"":[""sweet potato""]},{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""tomato""]},{""name"":""pasta"",""ingredients"":[""pasta""]},{""name"":""sweetcorn"",""ingredients"":[""sweetcorn""]}]",Other mains,https://images.unsplash.com/photo-1499125562588-29fb8a56b5d5?fm=jpg&q=70&w=600&auto=format&fit=crop
Takeaway,🥡,,,"[{""name"":""indian (Himalayan)"",""ingredients"":[]},{""name"":""pizza (Dominos)"",""ingredients"":[]},{""name"":""thai (Broken rice)"",""ingredients"":[]},{""name"":""fish & chips (Lady Bay or George's)"",""ingredients"":[]}]",[],Other mains,https://images.unsplash.com/photo-1722417055983-58885a9510b2?fm=jpg&q=70&w=600&auto=format&fit=crop
Jacket Potatoes,🥔,,jacket potatoes,"[{""name"":""beans"",""ingredients"":[""baked beans"",""cheese""]},{""name"":""tuna"",""ingredients"":[""tuna"",""mayonnaise""]}]","[{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""tomato""]}]",British classics,https://images.unsplash.com/photo-1665931040985-88ceff0fd38e?fm=jpg&q=70&w=600&auto=format&fit=crop
Yaki Soba,🍜,,soba noodles;yaki soba sauce;peppers;spring onion,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""beef"",""ingredients"":[""beef""]},{""name"":""pork"",""ingredients"":[""pork""]}]","[{""name"":""gyoza"",""ingredients"":[""gyoza""]}]",Japanese,
Risotto,🍚,,risotto rice;cream cheese,"[{""name"":""mushroom"",""ingredients"":[""mushroom"",""stock"",""peas""]},{""name"":""chicken"",""ingredients"":[""chicken"",""chicken stock"",""peas""]}]","[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]}]",Italian,
Orzo,🥘,,orzo pasta;tinned tomatoes;cream cheese;stock;peas,"[{""name"":""chorizo"",""ingredients"":[""chorizo""]},{""name"":""mushroom"",""ingredients"":[""mushroom""]}]","[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]}]",Italian,https://images.unsplash.com/photo-1599749011811-d9044d5cf850?fm=jpg&q=70&w=600&auto=format&fit=crop
Tomato pasta,🍝,,pasta;tinned tomatoes;cream cheese;mushrooms;peas;peppers;cheese,[],"[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]},{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""peppers""]}]",Italian,https://images.unsplash.com/photo-1608897013039-887f21d8c804?fm=jpg&q=70&w=600&auto=format&fit=crop
Lasagna,🍝,,pasta sheets;tinned tomatoes;milk;flour;butter;cheese;mozzarella;tomato paste;garlic;onion;carrot;celery,"[{""name"":""meat"",""ingredients"":[""beef mince""]},{""name"":""veg (burnt aubergine)"",""ingredients"":[""aubergine"",""lentils""]},{""name"":""veg (lentils)"",""ingredients"":[""lentils""]}]",[],Italian,https://images.unsplash.com/photo-1709429790175-b02bb1b19207?fm=jpg&q=70&w=600&auto=format&fit=crop
